,stopwords
0,same
1,under
2,just
3,don't
4,make
5,stand
6,lose
7,o
8,much
9,without
10,haven't
11,there
12,own
13,time
14,someone
15,yourselves
16,re
17,begin
18,were
19,stage
20,our
21,up
22,doing
23,how
24,where
25,first
26,need
27,mayor
28,four
29,himself
30,hadn
31,call
32,debate
33,from
34,d
35,needn
36,term
37,she
38,during
39,are
40,myself
41,few
42,use
43,when
44,why
45,by
46,these
47,below
48,should've
49,question
50,after
51,some
52,should
53,shouldn
54,cost
55,still
56,counts
57,country
58,take
59,until
60,had
61,run
62,into
63,have
64,more
65,only
66,every
67,must
68,will
69,forward
70,right
71,let
72,hasn't
73,aren't
74,no
75,around
76,lot
77,many
78,didn't
79,whom
80,does
81,help
82,she's
83,part
84,place
85,issue
86,thank
87,even
88,think
89,whether
90,between
91,show
92,keep
93,bag
94,continue
95,long
96,with
97,elect
98,my
99,agree
100,also
101,is
102,say
103,won't
104,now
105,live
106,hadn't
107,ago
108,matter
109,aren
110,want
111,any
112,break
113,member
114,doesn
115,each
116,come
117,number
118,mr
119,last
120,that'll
121,yes
122,actually
123,it
124,her
125,ours
126,weren't
127,ma
128,vice
129,something
130,s
131,you've
132,new
133,t
134,as
135,them
136,haven
137,three
138,yourself
139,could
140,win
141,was
142,because
143,nor
144,face
145,different
146,answer
147,herself
148,hers
149,start
150,important
151,know
152,year
153,go
154,enough
155,his
156,who
157,to
158,most
159,me
160,kind
161,ask
162,for
163,shan't
164,those
165,what
166,mightn
167,too
168,create
169,the
170,beat
171,and
172,isn
173,you'll
174,then
175,wasn
176,ve
177,him
178,shouldn't
179,off
180,next
181,thing
182,try
183,here
184,second
185,big
186,on
187,real
188,one
189,back
190,in
191,which
192,across
193,never
194,away
195,today
196,being
197,if
198,he
199,m
200,talk
201,two
202,itself
203,a
204,this
205,mustn
206,mightn't
207,down
208,of
209,ourselves
210,great
211,would
212,before
213,political
214,people
215,both
216,wrong
217,that
218,against
219,put
220,while
221,themselves
222,point
223,well
224,american
225,clear
226,its
227,than
228,happen
229,president
230,good
231,you'd
232,best
233,yours
234,once
235,move
236,vocab
237,couldn
238,again
239,has
240,very
241,america
242,through
243,your
244,y
245,fact
246,an
247,way
248,other
249,single
250,isn't
251,include
252,it's
253,you
254,out
255,or
256,over
257,wouldn't
258,don
259,see
260,weren
261,am
262,senator
263,did
264,mean
265,look
266,day
267,but
268,you're
269,they
270,turn
271,tell
272,like
273,needn't
274,really
275,tonight
276,not
277,shan
278,having
279,sure
280,didn
281,doesn't
282,bad
283,won
284,theirs
285,i
286,do
287,wasn't
288,their
289,at
290,such
291,been
292,couldn't
293,get
294,further
295,else
296,mustn't
297,we
298,ain
299,all
300,can
301,above
302,so
303,ll
304,be
305,wouldn
306,about
307,bring
308,understand
309,hasn
310,stop
